Firmware	version:	0741705B9																											
File	Creation	Date:	16/05/2019	17:49:03																									
Battery	Level:	6.5																											
TideMaster	S/N:	63590																											
Station	ID:	1																											
Site	info:	VALEPORT	MLK1																										
Calibrated:	23/03/2018																												
Mode:	B52																												
Pressure	units:	m																											
output	format:	TIDEMASTER																											
Pressure:																													
User	Pressure	cal:																											
Gain:	1.029293																												
Offset:	-0.270551																												
Vale	Pressure	cal:																											
P0:	-1.85E-09																												
P1:	0.003198																												
P2:	-1.758161																												
Wind	speed	units:	m\sec																										
Air	Pressure	units:	mBar																										
Air	Temperature	units:	DegC																										
Timestamp	Depth	Depth	stdev	Wspeed	Wspeed	stdev	Max	Gust	Wdir	Wdir	stdev	Air	Pressure	Air	Pressure	stdev	Air	Temperature	Air	Temperature	stdev	Dewpoint	Dewpoint	stdev	Humidity	Humidity	stdev	Batt	Status
																													
17/05/2019	5:45:00	1.212	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	5:50:00	1.213	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	5:55:00	1.207	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:00:00	1.225	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:05:00	1.203	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:10:00	1.199	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:15:00	1.199	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:20:00	1.179	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:25:00	1.17	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:30:00	1.162	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:35:00	1.186	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:40:00	1.172	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:45:00	1.158	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:50:00	1.146	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	6:55:00	1.158	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:00:00	1.165	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:05:00	1.159	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:10:00	1.164	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:15:00	1.162	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:20:00	1.182	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:25:00	1.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:30:00	1.19	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:35:00	1.214	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:40:00	1.225	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:45:00	1.231	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:50:00	1.233	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	7:55:00	1.237	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:00:00	1.259	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:05:00	1.26	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:10:00	1.281	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:15:00	1.311	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:20:00	1.31	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:25:00	1.333	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:30:00	1.339	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:35:00	1.357	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:40:00	1.378	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:45:00	1.391	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:50:00	1.407	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	8:55:00	1.423	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	9:00:00	1.441	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	9:05:00	1.464	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	9:10:00	1.466	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	9:15:00	1.5	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	9:20:00	1.527	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	9:25:00	1.543	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	9:30:00	1.558	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	9:35:00	1.584	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	9:40:00	1.606	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	9:45:00	1.631	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	9:50:00	1.642	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	9:55:00	1.67	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	10:00:00	1.69	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	10:05:00	1.72	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	10:10:00	1.735	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	10:15:00	1.732	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	10:20:00	1.787	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	10:25:00	1.796	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	10:30:00	1.829	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	10:35:00	1.851	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	10:40:00	1.866	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	10:45:00	1.891	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	10:50:00	1.911	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	10:55:00	1.929	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	11:00:00	1.94	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	11:05:00	1.975	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	11:10:00	1.994	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0											
17/05/2019	11:15:00	1.999	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	11:20:00	2.021	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	11:25:00	2.027	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	11:30:00	2.053	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	11:35:00	2.07	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	11:40:00	2.06	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	11:45:00	2.09	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	11:50:00	2.092	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	11:55:00	2.106	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
17/05/2019	12:00:00	2.114	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0											
